Frequency,S21_Magnitude,
0.0,-35.70188133140377,
5994005.994005994,-33.30398777938558,
11988011.988011988,-28.883628250668462,
17982017.982017983,-26.51720145558325,
23976023.976023976,-25.6911839542311,
29970029.97002997,-24.7658224425426,
35964035.964035966,-21.876343025039507,
41958041.95804196,-23.21076722361112,
47952047.95204795,-25.03771198651825,
53946053.946053945,-25.964913009851216,
59940059.94005994,-26.31933706888651,
65934065.93406593,-26.673761127921804,
71928071.92807193,-27.028185186957096,
77922077.92207792,-27.738630699177087,
83916083.91608392,-28.479459756757226,
89910089.91008991,-28.999115891501702,
95904095.9040959,-29.07739149025015,
101898101.8981019,-29.155667088998598,
107892107.89210789,-29.233942687747046,
113886113.88611388,-29.312218286495494,
119880119.88011988,-28.47807854229685,
125874125.87412587,-28.99721499757703,
131868131.86813186,-31.28305626677575,
137862137.86213785,-33.568897535974465,
143856143.85614386,-34.350554414229826,
149850149.85014984,-29.630748147174078,
155844155.84415585,-25.269891845371017,
161838161.83816183,-21.748911875629844,
167832167.83216783,-20.487211112572467,
173826173.8261738,-17.43103361382818,
179820179.82017982,-17.206773291084026,
185814185.8141858,-16.982512968339872,
191808191.8081918,-16.758252645595718,
197802197.8021978,-16.533992322851564,
203796203.7962038,-16.309732000107413,
209790209.7902098,-16.529881890064075,
215784215.78421578,-16.794399430662278,
221778221.7782218,-17.043600773945293,
227772227.77222776,-16.362854365804804,
233766233.76623377,-15.682107957664314,
239760239.76023975,-15.001361549523825,
245754245.75424576,-15.545391588560316,
251748251.74825174,-16.241447330827086,
257742257.74225774,-16.937503073093858,
263736263.73626372,-16.19474593986161,
269730269.73026973,-14.50531522716292,
275724275.7242757,-13.765950110329925,
281718281.7182817,-13.4691743330734,
287712287.7122877,-13.172398555816876,
293706293.7062937,-12.875622778560354,
299700299.7002997,-12.578847001303831,
305694305.6943057,-12.362953195316521,
311688311.6883117,-12.211295973925601,
317682317.6823177,-12.05963875253468,
323676323.67632365,-11.90798153114376,
329670329.6703297,-11.756324309752838,
335664335.66433567,-11.597067560362547,
341658341.65834165,-11.424548708964874,
347652347.6523476,-11.252029857567202,
353646353.64635366,-10.52679581633985,
359640359.64035964,-9.37085746957785,
365634365.6343656,-7.456463179627962,
371628371.6283716,-6.914149479222542,
377622377.62237763,-6.3718357788171165,
383616383.6163836,-5.822493486186731,
389610389.6103896,-5.20882271993849,
395604395.6043956,-4.595151953690243,
401598401.5984016,-3.7122109132368926,
407592407.5924076,-1.725391734577756,
413586413.58641356,-1.254992033211972,
419580419.5804196,-0.7845923318461835,
425574425.5744256,-0.31419263048039947,
431568431.56843156,0.15620707088538466,
437562437.56243753,1.9223141691884422,
443556443.5564436,2.5067022864028097,
449550449.55044955,3.013149672134599,
455544455.5444555,3.5195970578663878,
461538461.5384615,4.0899448765879205,
467532467.53246754,4.69264449396283,
473526473.5264735,5.295344111337734,
479520479.5204795,5.699319077168235,
485514485.51448554,6.08214973541496,
491508491.5084915,6.464980393661682,
497502497.5024975,6.847811051908403,
503496503.4965035,7.385588072394695,
509490509.4905095,8.093767308070321,
515484515.4845155,8.944376227299664,
521478521.47852147,10.323946166927486,
527472527.47252744,10.897239023505342,
533466533.4665335,11.332334158311044,
539460539.4605395,11.767429293116741,
545454545.4545455,12.202524427922441,
551448551.4485514,12.655316117327734,
557442557.4425575,13.109455627183603,
563436563.4365634,13.563595137039464,
569430569.4305694,14.009939675120192,
575424575.4245754,14.426245192196124,
581418581.4185814,14.842550709272045,
587412587.4125874,15.258856226347977,
593406593.4065934,15.640774240231595,
599400599.4005994,16.013258123931102,
605394605.3946054,16.38574200763062,
611388611.3886114,16.75822589133013,
617382617.3826174,17.077727064702483,
623376623.3766234,17.301854119509713,
629370629.3706293,17.525981174316932,
635364635.3646353,17.750108229124162,
641358641.3586414,17.97423528393139,
647352647.3526473,18.19836233873861,
653346653.3466533,18.546300559867877,
659340659.3406594,18.935339282842932,
665334665.3346653,19.324378005817977,
671328671.3286713,19.71341672879303,
677322677.3226774,19.92695664434993,
683316683.3166833,20.095953961954336,
689310689.3106893,20.264951279558744,
695304695.3046952,20.433948597163152,
701298701.2987013,20.60294591476756,
707292707.2927073,20.77194323237197,
713286713.2867132,20.883277876449007,
719280719.2807193,20.976398847373886,
725274725.2747253,21.069519818298765,
731268731.2687312,21.16264078922364,
737262737.2627373,21.255761760148523,
743256743.2567432,21.3488827310734,
749250749.2507492,21.37224740774849,
755244755.2447553,21.368798482899418,
761238761.2387612,21.36534955805035,
767232767.2327672,21.36190063320128,
773226773.2267733,21.358451708352213,
779220779.2207792,21.355002783503142,
785214785.2147852,21.356276982317137,
791208791.2087913,21.359725907166208,
797202797.2027972,21.363174832015275,
803196803.1968032,21.366623756864346,
809190809.1908091,21.370072681713417,
815184815.1848152,21.373521606562484,
821178821.1788212,21.33902946493394,
827172827.1728271,21.28384666734883,
833166833.1668332,21.228663869763714,
839160839.1608392,21.1734810721786,
845154845.1548451,21.11829827459349,
851148851.1488512,21.063115477008374,
857142857.1428571,21.026851516856937,
863136863.1368631,21.002709042913448,
869130869.1308692,20.97856656896996,
875124875.1248751,20.954424095026475,
881118881.1188811,20.930281621082987,
887112887.1128871,20.9061391471395,
893106893.1068931,20.864245445287402,
899100899.1008991,20.809062647702287,
905094905.0949051,20.753879850117176,
911088911.088911,20.69869705253206,
917082917.0829171,20.64351425494695,
923076923.076923,20.588331457361836,
929070929.070929,20.577371642132853,
935064935.0649351,20.60496304092541,
941058941.058941,20.632554439717968,
947052947.052947,20.660145838510523,
953046953.0469531,20.687737237303082,
959040959.040959,20.715328636095638,
965034965.034965,20.777177832351498,
971028971.0289711,20.873747728125444,
977022977.022977,20.97031762389939,
983016983.016983,21.066887519673337,
989010989.010989,21.163457415447283,
995004995.004995,21.26002731122123,
1000999000.999001,21.36767929536562,
1006993006.993007,21.488391665083054,
1012987012.987013,21.60910403480049,
1018981018.981019,21.72981640451793,
1024975024.9750249,21.850528774235364,
1030969030.969031,21.971241143952803,
1036963036.9630369,22.087593250400783,
1042957042.9570429,22.19795884557101,
1048951048.951049,22.308324440741234,
1054945054.9450549,22.418690035911457,
1060939060.9390609,22.529055631081683,
1066933066.933067,22.63942122625191,
1072927072.9270729,22.78287898887574,
1078921078.921079,22.979467705272707,
1084915084.9150848,23.17605642166967,
1090909090.909091,23.372645138066645,
1096903096.903097,23.569233854463608,
1102897102.8971028,23.76582257086057,
1108891108.891109,23.934950384208715,
1114885114.885115,24.05221382907708,
1120879120.8791208,24.169477273945443,
1126873126.8731267,24.286740718813807,
1132867132.867133,24.404004163682178,
1138861138.8611388,24.52126760855054,
1144855144.8551447,24.623632002611746,
1150849150.849151,24.69261049959314,
1156843156.8431568,24.761588996574527,
1162837162.8371627,24.830567493555918,
1168831168.831169,24.899545990537312,
1174825174.8251748,24.9685244875187,
1180819180.8191807,25.039371951546336,
1186813186.813187,25.115248298225872,
1192807192.8071928,25.1911246449054,
1198801198.8011987,25.26700099158493,
1204795204.7952049,25.342877338264465,
1210789210.7892108,25.418753684943994,
1216783216.7832167,25.489801536834825,
1222777222.7772229,25.54498433441994,
1228771228.7712288,25.60016713200505,
1234765234.7652347,25.655349929590162,
1240759240.7592406,25.710532727175273,
1246753246.7532468,25.765715524760385,
1252747252.7472527,25.830348528702363,
1258741258.7412586,25.93381627417445,
1264735264.7352648,26.03728401964654,
1270729270.7292707,26.140751765118626,
1276723276.7232766,26.24421951059071,
1282717282.7172828,26.3476872560628,
1288711288.7112887,26.448428599794372,
1294705294.7052946,26.534651721021113,
1300699300.6993008,26.620874842247854,
1306693306.6933067,26.70709796347459,
1312687312.6873126,26.79332108470133,
1318681318.6813188,26.879544205928074,
1324675324.6753247,26.967429510980526,
1330669330.6693306,27.067448331603543,
1336663336.6633368,27.167467152226564,
1342657342.6573427,27.267485972849578,
1348651348.6513486,27.367504793472595,
1354645354.6453547,27.467523614095615,
1360639360.6393607,27.57011473880143,
1366633366.6333666,27.701173883066073,
1372627372.6273725,27.832233027330716,
1378621378.6213787,27.963292171595363,
1384615384.6153846,28.094351315860006,
1390609390.6093905,28.22541046012465,
1396603396.6033967,28.35568921852389,
1402597402.5974026,28.46950373854318,
1408591408.5914085,28.583318258562475,
1414585414.5854146,28.697132778581775,
1420579420.5794206,28.810947298601068,
1426573426.5734265,28.92476181862036,
1432567432.5674326,29.03828656804417,
1438561438.5614386,29.1141629147237,
1444555444.5554445,29.19003926140323,
1450549450.5494506,29.265915608082757,
1456543456.5434566,29.341791954762286,
1462537462.5374625,29.417668301441815,
1468531468.5314686,29.493544648121347,
1474525474.5254745,29.609567393666527,
1480519480.5194805,29.72683083853489,
1486513486.5134864,29.844094283403255,
1492507492.5074925,29.961357728271622,
1498501498.5014985,30.07862117313999,
1504495504.4955044,30.195884618008353,
1510489510.4895105,30.30993226402959,
1516483516.4835165,30.423746784048884,
1522477522.4775224,30.537561304068177,
1528471528.4715285,30.651375824087477,
1534465534.4655344,30.76519034410677,
1540459540.4595404,30.879004864126063,
1546453546.4535465,30.97430299741262,
1552447552.4475524,31.0674239683375,
1558441558.4415584,31.160544939262376,
1564435564.4355645,31.25366591018726,
1570429570.4295704,31.346786881112134,
1576423576.4235764,31.439907852037013,
1582417582.4175825,31.488683872005144,
1588411588.4115884,31.53007097019398,
1594405594.4055943,31.571458068382814,
1600399600.3996003,31.612845166571645,
1606393606.3936064,31.654232264760484,
1612387612.3876123,31.695619362949316,
1618381618.3816183,31.703087313072835,
1624375624.3756244,31.703087313072835,
1630369630.3696303,31.703087313072835,
1636363636.3636363,31.703087313072835,
1642357642.3576424,31.703087313072835,
1648351648.3516483,31.703087313072835,
1654345654.3456542,31.77590256764461,
1660339660.3396604,31.86902353856949,
1666333666.3336663,31.96214450949437,
1672327672.3276722,32.055265480419244,
1678321678.3216784,32.14838645134413,
1684315684.3156843,32.241507422269,
1690309690.3096902,32.28071872852987,
1696303696.3036964,32.30141227762429,
1702297702.2977023,32.322105826718705,
1708291708.2917082,32.34279937581312,
1714285714.2857141,32.36349292490754,
1720279720.2797203,32.38418647400196,
1726273726.2737262,32.40244263059928,
1732267732.2677321,32.41968725484463,
1738261738.2617383,32.436931879089975,
1744255744.2557442,32.454176503335326,
1750249750.2497501,32.471421127580676,
1756243756.2437563,32.48866575182602,
1762237762.2377622,32.5105256922822,
1768231768.2317681,32.534668166225686,
1774225774.2257743,32.55881064016917,
1780219780.2197802,32.58295311411266,
1786213786.2137861,32.60709558805615,
1792207792.2077923,32.63123806199963,
1798201798.2017982,32.67280392565306,
1804195804.195804,32.7245377983891,
1810189810.1898103,32.776271671125144,
1816183816.1838162,32.82800554386119,
1822177822.177822,32.87973941659723,
1828171828.1718283,32.931473289333276,
1834165834.1658342,32.97501440478105,
1840159840.15984,33.01295257812081,
1846153846.153846,33.05089075146058,
1852147852.1478522,33.08882892480034,
1858141858.141858,33.12676709814011,
1864135864.135864,33.16470527147987,
1870129870.1298702,33.194969625098054,
1876123876.123876,33.219112099041546,
1882117882.117882,33.24325457298503,
1888111888.1118882,33.26739704692852,
1894105894.105894,33.29153952087201,
1900099900.0999,33.3156819948155,
1906093906.0939062,33.32909214552666,
1912087912.087912,33.332541070375726,
1918081918.081918,33.3359899952248,
1924075924.0759242,33.33943892007387,
1930069930.06993,33.342887844922934,
1936063936.063936,33.346336769772,
1942057942.0579422,33.36305758379745,
1948051948.051948,33.394097907439075,
1954045954.045954,33.4251382310807,
1960039960.03996,33.45617855472233,
1966033966.033966,33.487218878363954,
1972027972.027972,33.51825920200558,
1978021978.021978,33.53706551160422,
1984015984.015984,33.540514436453286,
1990009990.00999,33.54396336130236,
1996003996.003996,33.54741228615143,
2001998001.998002,33.550861211000495,
2007992007.992008,33.55431013584957,
2013986013.986014,33.571754234335636,
2019980019.98002,33.6096924076754,
2025974025.974026,33.647630581015164,
2031968031.968032,33.68556875435493,
2037962037.962038,33.72350692769469,
2043956043.956044,33.76144510103446,
2049950049.9500499,33.77652718087776,
2055944055.944056,33.752384706934265,
2061938061.938062,33.72824223299078,
2067932067.9320679,33.704099759047295,
2073926073.9260738,33.679957285103804,
2079920079.92008,33.65581481116032,
2085914085.9140859,33.64307282302036,
2091908091.9080918,33.65341959756757,
2097902097.902098,33.66376637211478,
2103896103.8961039,33.67411314666198,
2109890109.8901098,33.68445992120919,
2115884115.884116,33.6948066957564,
2121878121.8781219,33.70616378449229,
2127872127.8721278,33.719959483888566,
2133866133.866134,33.73375518328484,
2139860139.8601398,33.747550882681125,
2145854145.8541458,33.7613465820774,
2151848151.8481517,33.775142281473684,
2157842157.842158,33.789818560666966,
2163836163.836164,33.807063184912316,
2169830169.8301697,33.82430780915766,
2175824175.824176,33.84155243340301,
2181818181.818182,33.85879705764835,
2187812187.8121877,33.8760416818937,
2193806193.806194,33.88577785208573,
2199800199.8002,33.86853322784039,
2205794205.7942057,33.85128860359504,
2211788211.788212,33.83404397934969,
2217782217.782218,33.816799355104344,
2223776223.7762237,33.79955473085899,
2229770229.77023,33.78106788458633,
2235764235.764236,33.75692541064284,
2241758241.7582417,33.73278293669936,
2247752247.752248,33.70864046275587,
2253746253.7462535,33.68449798881238,
2259740259.7402596,33.6603555148689,
2265734265.734266,33.6396526772793,
2271728271.7282715,33.6396526772793,
2277722277.7222776,33.6396526772793,
2283716283.716284,33.6396526772793,
2289710289.7102895,33.6396526772793,
2295704295.7042956,33.6396526772793,
2301698301.698302,33.64543895296428,
2307692307.6923075,33.70062175054939,
2313686313.6863136,33.755804548134506,
2319680319.68032,33.81098734571962,
2325674325.6743255,33.86617014330473,
2331668331.6683316,33.92135294088984,
2337662337.662338,33.97212948954085,
2343656343.6563435,33.96178271499364,
2349650349.6503496,33.95143594044643,
2355644355.644356,33.94108916589922,
2361638361.6383615,33.93074239135201,
2367632367.6323676,33.920395616804804,
2373626373.626374,33.910253189151526,
2379620379.6203794,33.90680426430245,
2385614385.6143856,33.903355339453384,
2391608391.608392,33.89990641460431,
2397602397.6023974,33.89645748975524,
2403596403.5964036,33.893008564906175,
2409590409.5904098,33.8895596400571,
2415584415.5844154,33.86216116787752,
2421578421.5784216,33.83456976908496,
2427572427.5724277,33.8069783702924,
2433566433.5664334,33.77938697149985,
2439560439.5604396,33.75179557270729,
2445554445.5544457,33.724204173914735,
2451548451.5484514,33.68673788658412,
2457542457.5424576,33.64879971324435,
2463536463.5364637,33.61086153990458,
2469530469.5304694,33.57292336656482,
2475524475.5244756,33.534985193225054,
2481518481.5184813,33.497047019885294,
2487512487.5124874,33.5286705392078,
2493506493.5064936,33.56660871254757,
2499500499.5004992,33.60454688588733,
2505494505.4945054,33.6424850592271,
2511488511.4885116,33.680423232566866,
2517482517.4825172,33.71836140590663,
2523476523.4765234,33.71688148976499,
2529470529.4705296,33.709983640066845,
2535464535.464535,33.70308579036871,
2541458541.4585414,33.69618794067057,
2547452547.4525476,33.68929009097243,
2553446553.446553,33.682392241274286,
2559440559.4405594,33.68710409692681,
2565434565.4345655,33.69400194662495,
2571428571.428571,33.70089979632309,
2577422577.4225774,33.70779764602123,
2583416583.4165835,33.71469549571937,
2589410589.410589,33.72159334541751,
2595404595.4045954,33.734036579007636,
2601398601.3986015,33.74783227840391,
2607392607.392607,33.76162797780019,
2613386613.3866134,33.775423677196464,
2619380619.3806195,33.78921937659274,
2625374625.374625,33.803015075989016,
2631368631.3686314,33.74545092141871,
2637362637.3626375,33.666125649890105,
2643356643.356643,33.58680037836151,
2649350649.3506494,33.507475106832906,
2655344655.3446555,33.4281498353043,
2661338661.338661,33.34882456377571,
2667332667.3326674,33.33232987131323,
2673326673.3266735,33.33922772101137,
2679320679.320679,33.3461255707095,
2685314685.3146853,33.353023420407645,
2691308691.3086915,33.35992127010578,
2697302697.302697,33.366819119803914,
2703296703.2967033,33.35226557056332,
2709290709.2907095,33.328123096619834,
2715284715.284715,33.30398062267635,
2721278721.2787213,33.279838148732864,
2727272727.272727,33.25569567478938,
2733266733.266733,33.23155320084589,
2739260739.2607393,33.23896328821257,
2745254745.254745,33.26310576215605,
2751248751.248751,33.287248236099536,
2757242757.2427573,33.31139071004302,
2763236763.236763,33.335533183986506,
2769230769.230769,33.35967565792999,
2775224775.2247753,33.37744607191061,
2781218781.218781,33.39124177130689,
2787212787.212787,33.405037470703164,
2793206793.2067933,33.41883317009945,
2799200799.200799,33.43262886949572,
2805194805.194805,33.446424568892006,
2811188811.1888113,33.44027741232878,
2817182817.182817,33.419583863234365,
2823176823.176823,33.39889031413995,
2829170829.1708293,33.37819676504553,
2835164835.164835,33.35750321595111,
2841158841.158841,33.336809666856695,
2847152847.1528473,33.32357432257938,
2853146853.146853,33.31667647288125,
2859140859.140859,33.30977862318311,
2865134865.1348653,33.302880773484965,
2871128871.128871,33.29598292378683,
2877122877.122877,33.28908507408869,
2883116883.1168833,33.27177832351493,
2889110889.110889,33.24418692472238,
2895104895.104895,33.21659552592982,
2901098901.0989013,33.18900412713726,
2907092907.092907,33.16141272834471,
2913086913.086913,33.13382132955215,
2919080919.0809193,33.10301976591773,
2925074925.074925,33.068530517427035,
2931068931.068931,33.03404126893634,
2937062937.0629373,32.99955202044565,
2943056943.056943,32.965062771954955,
2949050949.050949,32.930573523464254,
2955044955.044955,32.90936240723686,
2961038961.038961,32.90591348238779,
2967032967.032967,32.90246455753872,
2973026973.026973,32.899015632689654,
