Frequency,S21_Magnitude,S11_Magnitude,S22_Magnitude,S12_Magnitude
300000,11.68,-18.78270182,-9.78040956,-19.81
10000000,11.29,-21.23381028,-11.54472815,-19.18
500000000,11.31,-20.44345958,-11.63421884,-19.17
750000000,10.99,-20.44345958,-12.00872917,-19.56
1000000000,11.03,-20.8278537,-13.08116535,-19.26
2000000000,11.72,-18.78270182,-13.84207091,-18.75
3000000000,11.94,-20.07860587,-16.53999636,-18.39
4000000000,12.87,-23.68571475,-19.40073553,-17.54
5000000000,12.86,-21.23381028,-14.41198191,-17.41
6000000000,12.71,-19.40073553,-12.00872917,-17.47
7000000000,12.45,-20.8278537,-12.00872917,-17.45
8000000000,12.55,-16.75473881,-12.20665035,-17.9
9000000000,11.85,-12.51819204,-11.54472815,-17.72
10000000000,11.98,-10.80442602,-11.11978088,-17.82
11000000000,12.16,-11.45679574,-11.63421884,-17.77
11500000000,12.19,-12.30847906,-11.45679574,-17.6
12000000000,11.86,-13.32354982,-11.54472815,-17.3
12500000000,11.89,-14.26420887,-11.81806379,-17.48
13000000000,11.87,-15.74666588,-12.30847906,-17.52
14000000000,11.41,-21.23381028,-15.74666588,-17.38