Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
50000000,-0.06286501863,-61.30888977,-62.40851216,162.0648926,-2.895169786,173.0160002,
50057777,-0.06329347112,-61.37175721,-61.42577034,162.0728747,-2.904339235,171.7390661,
50115555,-0.0625552477,-61.43606412,-61.07130412,159.9963339,-2.914998468,170.4494986,
50173333,-0.06103176414,-61.49559043,-60.69837625,158.2508066,-2.924150186,169.1999038,
50231111,-0.05957975165,-61.55073488,-60.45212202,154.8558335,-2.934490969,167.9174227,
50288888,-0.05719423737,-61.64271279,-60.26999377,151.6028604,-2.942831168,166.6663345,
50346666,-0.05484134829,-61.72499262,-59.79351877,148.0234167,-2.95199398,165.3905537,
50404444,-0.05329524493,-61.80354628,-59.83898944,143.8666595,-2.96040635,164.1268567,
50462222,-0.05158070548,-61.85326001,-59.32998781,140.0195544,-2.968129644,162.8853738,
50520000,-0.0507432471,-61.92720637,-59.39229464,136.7946837,-2.975958926,161.6110232,
50577777,-0.04795150186,-62.01910017,-58.91874162,133.6939676,-2.982350594,160.3569767,
50635555,-0.04604332452,-62.08224917,-58.99769049,129.7572816,-2.989318015,159.1009164,
50693333,-0.04345777212,-62.15579494,-59.08539188,125.8747666,-2.995561947,157.8447758,
50751111,-0.04031650316,-62.21597023,-58.87525866,124.1396501,-3.000633345,156.5862398,
50808888,-0.03893788388,-62.29140341,-58.79034517,120.2769132,-3.004889508,155.333357,
50866666,-0.03700997867,-62.37766114,-58.75777715,117.6438864,-3.011220448,154.0914954,
50924444,-0.03586688863,-62.43292792,-58.67138057,116.9034846,-3.015621451,152.8567786,
50982222,-0.03478865194,-62.48588558,-58.57998943,112.6459129,-3.018976065,151.6078613,
51040000,-0.03428396735,-62.53232674,-58.64634954,111.1300423,-3.021494062,150.3645508,
51097777,-0.03358236304,-62.59943394,-58.61372683,108.0462179,-3.024462427,149.1067543,
51155555,-0.03341181556,-62.65740097,-58.62279286,104.8821129,-3.024898245,147.8643409,
51213333,-0.03228301512,-62.72732695,-59.04430662,101.1310851,-3.024303152,146.6058611,
51271111,-0.02923826648,-62.82482433,-58.68924713,100.2018073,-3.024644156,145.3476477,
51328888,-0.02621768307,-62.91245589,-58.57407251,96.65710945,-3.02233088,144.0973418,
51386666,-0.02362662748,-63.00302063,-58.60848424,93.06658907,-3.019854178,142.8389934,
51444444,-0.02098441628,-63.05961759,-58.96677344,90.92429919,-3.016235465,141.6111259,
51502222,-0.02148133462,-63.11864547,-59.17912965,90.62152359,-3.013731039,140.3697654,
51560000,-0.01936775278,-63.17724984,-59.16595613,92.28358824,-3.01156644,139.1336086,
51617777,-0.01785271269,-63.25465256,-59.33663166,89.73580775,-3.009444667,137.9111361,
51675555,-0.01580028751,-63.34251348,-59.55931221,85.53794438,-3.005721016,136.6684471,
51733333,-0.01425357348,-63.38814774,-59.16978383,82.03771724,-3.012973715,135.5381965,
51791111,-0.01175065867,-63.45010719,-59.52886594,81.57892384,-2.997169599,134.1663818,
51848888,-0.01249768566,-63.49081829,-59.51054951,78.52281318,-2.991844975,132.9071015,
51906666,-0.01280788915,-63.53204476,-59.75283933,79.05964871,-2.985282993,131.6298339,
51964444,-0.01264506374,-63.59679169,-59.93040475,75.61701305,-2.978977181,130.356614,
52022222,-0.01225813389,-63.65165694,-59.64352825,77.41533877,-2.969450916,129.1051218,
52080000,-0.009645106973,-63.72236613,-60.15005707,74.3505869,-2.959715582,127.8502454,
52137777,-0.009739294535,-63.79811046,-60.23983955,72.75505458,-2.949171877,126.5585407,
52195555,-0.009557515847,-63.85407781,-60.22727392,71.42965413,-2.939001976,125.2830195,
52253333,-0.01043981141,-63.91222777,-60.42277676,70.33543842,-2.927199291,124.0160746,
52311111,-0.00978617459,-63.9732946,-60.5770947,69.57281806,-2.917986548,122.7673654,
52368888,-0.008815064023,-64.03195517,-60.36380985,66.66142449,-2.907847661,121.5000016,
52426666,-0.008779184723,-64.08842769,-60.53531577,65.33620695,-2.896823761,120.2248921,
52484444,-0.007257662043,-64.16892757,-60.82285807,65.33766045,-2.887287599,118.9229917,
52542222,-0.00675986898,-64.23426159,-60.7359382,61.62313845,-2.875645172,117.6196584,
52600000,-0.005711228527,-64.30658779,-61.36438324,61.43085599,-2.862849125,116.344585,
52657777,-0.004343352545,-64.38343566,-60.81347286,59.38368482,-2.851858312,115.0433488,
52715555,-0.00124862684,-64.46748584,-61.3511231,58.70766135,-2.837819329,113.74407,
52773333,0.001650438735,-64.55697635,-61.08072226,59.5131749,-2.823950237,112.4500836,
52831111,0.003337042492,-64.62641465,-61.42672662,55.05901852,-2.810130457,111.150613,
52888888,0.005370014961,-64.72344218,-61.33090813,56.28009076,-2.794110563,109.8252794,
52946666,0.006837638832,-64.81131352,-61.78629409,55.13290416,-2.777897472,108.5020329,
53004444,0.008730888732,-64.89521388,-61.88995081,55.1777188,-2.762336103,107.1711142,
53062222,0.008971054828,-64.97874846,-62.07110902,51.83055569,-2.745718259,105.8371184,
53120000,0.01172399744,-65.03973075,-62.04159902,54.65707564,-2.728829454,104.5039901,
53177777,0.01380484784,-65.12054151,-62.22234178,53.24700173,-2.711616161,103.1586182,
53235555,0.01492347584,-65.19038442,-62.22891729,50.66417661,-2.69534035,101.8380911,
53293333,0.01618146817,-65.24881272,-62.58335789,52.93669497,-2.676543066,100.4754408,
53351111,0.01663004851,-65.33469781,-62.31646707,52.18309015,-2.660126449,99.12161046,
53408888,0.01697977111,-65.39394838,-62.53908606,50.26153288,-2.641801944,97.76592612,
53466666,0.01644396613,-65.45327586,-62.50317547,51.4799619,-2.624063175,96.40441631,
53524444,0.01626059557,-65.50960451,-63.15233767,49.09259542,-2.605058418,95.04391723,
53582222,0.01568531728,-65.58267854,-63.4396163,49.91508564,-2.585932496,93.65010367,
53640000,0.01590361033,-65.64737627,-63.64960083,49.77213956,-2.567333253,92.2833391,
53697777,0.01695204675,-65.71375754,-64.04609636,48.28591265,-2.548833024,90.89779635,
53755555,0.01781002876,-65.79097138,-64.2609065,42.96001414,-2.529037366,89.52575829,
53813333,0.01871595977,-65.85112546,-64.58745008,47.0932832,-2.510615036,88.13537763,
53871111,0.01895840091,-65.92209225,-64.49312585,39.66818799,-2.492130026,86.73263262,
53928888,0.01832718504,-65.96434198,-63.64405784,42.61668853,-2.474565464,85.34064336,
53986666,0.01747515167,-66.01545971,-63.71363192,41.24894155,-2.457637614,83.94693092,
54044444,0.0158364036,-66.07542383,-64.07034537,37.73226205,-2.43898554,82.56394472,
54102222,0.01567205282,-66.1369066,-64.41586026,43.21270237,-2.420590193,81.15899639,
54160000,0.01538107138,-66.17589057,-64.8965433,38.98250215,-2.402144131,79.75941072,
54217777,0.01508144069,-66.24778587,-63.80334382,40.76678827,-2.382608444,78.34135188,
54275555,0.01394846196,-66.31534328,-64.08520521,36.466511,-2.363422968,76.91310271,
54333333,0.01358152983,-66.38043889,-64.46962252,39.67035144,-2.343430856,75.47850279,
54391111,0.01371086658,-66.4464386,-64.13138105,38.55664541,-2.321920783,74.02959679,
54448888,0.01501689744,-66.51678886,-64.19038079,40.36401289,-2.300367856,72.58328133,
54506666,0.01590916388,-66.58038687,-64.21515119,41.05669246,-2.281242286,71.1475417,
54564444,0.01733003454,-66.64855668,-64.53044084,38.98443987,-2.263787811,69.73383639,
54622222,0.01694515277,-66.71666554,-64.37908492,42.25063723,-2.245449751,68.31415536,
54680000,0.01562442218,-66.78440783,-64.94024566,43.38644836,-2.226905391,66.88156287,
54737777,0.01533596543,-66.85267364,-64.8261798,42.12086063,-2.20980123,65.42191112,
54795555,0.015889478,-66.92166931,-64.91053413,43.28540147,-2.191776605,63.98090623,
54853333,0.01457534124,-66.97347824,-64.62832371,41.91400599,-2.173139864,62.52745588,
54911111,0.01479330761,-67.05107014,-64.94816171,43.15028422,-2.15517813,61.06950743,
54968888,0.01700369232,-67.12752196,-65.51528285,40.02035279,-2.134138315,59.60458928,
55026666,0.01839648091,-67.19106431,-65.07597432,40.54694558,-2.111374642,58.08403944,
55084444,0.01710931801,-67.24039387,-64.76033342,38.05103969,-2.093081723,56.61943179,
55142222,0.01694103616,-67.31323724,-65.50683876,41.36133348,-2.077485477,55.16724552,
55200000,0.0162371189,-67.35466686,-64.87935239,34.46878869,-2.05828219,53.72557436,
55257777,0.01916375825,-67.46731374,-65.22954064,43.08883676,-2.039912857,52.23773704,
55315555,0.01819945643,-67.52479671,-65.64440561,42.05520478,-2.020731862,50.76714507,
55373333,0.02037360106,-67.59142778,-65.43709954,39.03437026,-2.003051569,49.25797848,
55431111,0.0206501887,-67.68513164,-65.37639629,37.9944272,-1.984286553,47.77085836,
55488888,0.02024770604,-67.75688755,-65.55742327,40.60448342,-1.965477877,46.27095265,
55546666,0.02095951054,-67.82156174,-65.46591782,41.64301322,-1.948910057,44.78451887,
55604444,0.02177031448,-67.90197248,-65.44612696,42.56459775,-1.930658269,43.29664612,
55662222,0.02244863841,-67.9777043,-65.10181199,46.0412454,-1.911104671,41.79499806,
55720000,0.02532042395,-68.06333601,-65.18545081,44.86269964,-1.891191649,40.29173355,
55777777,0.02650872932,-68.15817718,-66.25581076,48.3651866,-1.871331503,38.75612786,
55835555,0.03168004515,-68.27097644,-67.16385682,48.28990861,-1.848748375,37.19417211,
55893333,0.03247475874,-68.33877035,-67.01761153,49.21163908,-1.828543858,35.65223109,
55951111,0.03002628244,-68.40449192,-66.23032255,41.97362469,-1.813040525,34.15064233,
56008888,0.02849032575,-68.44613516,-66.44172358,46.64030804,-1.79746963,32.6438309,
56066666,0.0268795799,-68.51476049,-65.07029584,45.61978238,-1.780119783,31.14775948,
56124444,0.02468911068,-68.57853121,-65.5290336,44.56444305,-1.763942687,29.63371187,
56182222,0.0246463768,-68.63060934,-65.19552512,45.21993257,-1.747538228,28.13527798,
56240000,0.02514174497,-68.69416666,-64.83201828,45.87613365,-1.728222907,26.62280829,
56297777,0.02594579541,-68.76928481,-64.97107537,46.52177966,-1.71145158,25.08727153,
56355555,0.02621124946,-68.84183692,-64.53191663,46.34579111,-1.694444635,23.55734434,
56413333,0.02439758653,-68.88913638,-63.88180605,47.23272667,-1.676737166,22.04613251,
56471111,0.02284294948,-68.93374847,-63.61120097,45.13078789,-1.658134257,20.50437391,
56528888,0.02278022386,-69.00051008,-63.48174141,45.96390824,-1.641020509,18.97155287,
56586666,0.02318478803,-69.07234674,-63.98281194,44.80046105,-1.62411782,17.41447273,
56644444,0.0231098772,-69.14163814,-64.03851547,47.49397263,-1.605987336,15.88644593,
56702222,0.02354327983,-69.21915221,-63.63428743,50.43213274,-1.589266297,14.32715203,
56760000,0.02385155816,-69.2844034,-62.89153232,50.40260567,-1.571520494,12.79109771,
56817777,0.02416144134,-69.35617906,-63.25164125,47.01445028,-1.55554373,11.24209969,
56875555,0.02343153369,-69.42548515,-63.18047312,44.86123659,-1.537908295,9.682173391,
56933333,0.02397498202,-69.50153775,-63.13519871,48.34112875,-1.52132455,8.13798924,
56991111,0.02375605314,-69.57790107,-62.95103376,44.48051706,-1.505529431,6.597788925,
57048888,0.0230538897,-69.63204246,-62.65447362,45.25245057,-1.487629563,5.049196622,
57106666,0.02481589284,-69.70257742,-62.98725963,45.93032428,-1.470578115,3.490315762,
57164444,0.02824309027,-69.78297343,-62.70744025,43.88758421,-1.452896035,1.930330898,
57222222,0.02910431962,-69.85445901,-62.9772008,45.05396057,-1.436481434,0.3604757045,
57280000,0.02839869199,-69.93523168,-62.40039929,43.91119814,-1.419505257,-1.220758049,
57337777,0.02946994217,-70.00434373,-62.55264009,40.93269637,-1.403435865,-2.769800207,
57395555,0.02941883416,-70.08005579,-62.58772099,42.83244949,-1.387370432,-4.34855267,
57453333,0.02970807122,-70.15287734,-62.3453324,44.99346733,-1.37131849,-5.919322926,
57511111,0.02944580909,-70.20323641,-62.07002734,41.97395127,-1.354126394,-7.521131152,
57568888,0.0282284154,-70.27316249,-61.86115738,44.43535418,-1.336674431,-9.169907976,
57626666,0.02856460031,-70.34501143,-62.06535318,46.48591714,-1.325729693,-10.68741165,
57684444,0.02587702356,-70.40509896,-62.2421297,44.59188336,-1.311030047,-12.22450486,
57742222,0.02403029073,-70.46922265,-62.02385434,40.15085602,-1.297187723,-13.78328253,
57800000,0.02318448449,-70.52338743,-61.6194971,39.36740143,-1.280020954,-15.34402452,
57857777,0.02161430743,-70.60654613,-61.6850588,37.62822182,-1.264652508,-16.9084715,
57915555,0.01899401029,-70.68958098,-61.48434059,38.0314752,-1.250535779,-18.48999212,
57973333,0.01607385278,-70.7486336,-60.99362752,39.94851905,-1.232120012,-20.15122987,
58031111,0.01287969521,-70.82791276,-61.23863066,38.59477593,-1.220409914,-21.67878156,
58088888,0.01160013321,-70.88895623,-61.08344418,38.91177953,-1.2056733,-23.22811451,
58146666,0.0103575665,-70.96502192,-60.90054263,40.07609665,-1.192307827,-24.81815335,
58204444,0.0112941616,-71.03428475,-60.83344109,38.3667793,-1.177400661,-26.38380296,
58262222,0.01491265486,-71.11734228,-60.65665708,37.08678063,-1.163816142,-27.99161672,
58320000,0.01984603407,-71.20455422,-60.63228478,34.70503469,-1.150442961,-29.58040103,
58377777,0.0165941717,-71.24146278,-60.48450006,35.04983792,-1.137865489,-31.17105499,
58435555,0.01221258061,-71.30373892,-60.13819806,34.48339284,-1.12571985,-32.75167418,
58493333,0.007898454518,-71.3833824,-60.07601278,35.13417466,-1.111147358,-34.33441943,
58551111,0.003659985667,-71.43083609,-59.60961488,30.29312616,-1.095082729,-35.91747027,
58608888,0.004693004392,-71.50594348,-60.15353666,33.53425448,-1.084657692,-37.52099984,
58666666,0.002091080634,-71.58811864,-60.41078983,32.96771427,-1.070960817,-39.09992111,
58724444,0.001281309336,-71.64410867,-60.0709255,32.94754034,-1.057862549,-40.68592065,
58782222,0.0007502876982,-71.72186465,-59.86217653,33.73442701,-1.045011794,-42.28082736,
58840000,7.868526651e-05,-71.78774498,-59.59671324,30.18250987,-1.032371517,-43.89554399,
58897777,-0.001054615543,-71.86154006,-59.79389388,28.3988552,-1.020596341,-45.51761907,
58955555,-0.001273844951,-71.94270329,-59.93195725,28.80970147,-1.008802454,-47.11918205,
59013333,-0.001391866353,-72.01877997,-59.57621488,31.00408395,-0.9981283099,-48.73134555,
59071111,-0.003025576776,-72.08372176,-59.74000146,27.74893067,-0.9877967658,-50.33399048,
59128888,-0.00503906189,-72.15162004,-59.52677212,29.76033661,-0.9768185178,-51.93746807,
59186666,-0.005577723869,-72.21902758,-59.63160197,29.9497516,-0.966576297,-53.52085049,
59244444,-0.003475940797,-72.29932259,-59.66675219,28.06138308,-0.9547450331,-55.16971128,
59302222,-0.003809983164,-72.39240782,-60.11157041,31.09259063,-0.942258232,-56.77738346,
59360000,-0.004878920295,-72.46501346,-59.57559014,25.89683832,-0.9303166889,-58.41267992,
59417777,-0.009318717595,-72.51990576,-59.2815524,26.12698993,-0.9214550429,-59.9732386,
59475555,-0.009742264439,-72.58373315,-59.11360163,24.17953357,-0.9142551009,-61.57316414,
59533333,-0.008364129791,-72.65859597,-58.73699223,23.57131127,-0.9042271645,-63.19318094,
59591111,-0.007370587657,-72.72405987,-59.14857216,25.39988201,-0.8957393037,-64.80422787,
59648888,-0.006314624995,-72.77974831,-58.97660042,13.25559753,-0.8855545743,-66.42694756,
59706666,-0.01071626844,-72.84270257,-59.09188661,23.98751408,-0.8762857615,-68.06178303,
59764444,-0.01522817067,-72.92357773,-58.77409604,23.45299541,-0.8639889955,-69.70674512,
59822222,-0.01993571999,-72.99508319,-58.74304193,22.31293463,-0.853630969,-71.30507206,
59880000,-0.02268229352,-73.07441125,-58.74225239,21.26199527,-0.848262848,-72.91849155,
59937777,-0.02645538221,-73.14510837,-58.77873609,21.99619423,-0.8407399948,-74.5182885,
59995555,-0.02798237461,-73.20490251,-58.28372655,20.21028083,-0.8339579239,-76.1356243,
60053333,-0.02993330966,-73.27938964,-58.31870602,19.85475325,-0.8270718452,-77.75526918,
60111111,-0.03199744591,-73.35051121,-58.48043045,18.4476276,-0.819976254,-79.3887526,
60168888,-0.0335797434,-73.40999462,-58.23970131,18.02715409,-0.8123101926,-81.0210512,
60226666,-0.03557687575,-73.48176859,-58.18603939,18.72071395,-0.8036858927,-82.68299975,
60284444,-0.03698267884,-73.55052935,-57.73503274,14.68563087,-0.798508733,-84.309823,
60342222,-0.03838962079,-73.62609031,-57.79186712,16.29204706,-0.7939913746,-85.92386673,
60400000,0.164810346,-73.95573932,-54.71512154,93.66049553,-0.7766376649,-86.40825019,
60457777,-0.04029133134,-73.78696289,-57.41408784,12.73643322,-0.7843670649,-89.21045594,
60515555,-0.04297009664,-73.86115724,-57.60056409,13.00325284,-0.7786665977,-90.84282525,
60573333,-0.04430233376,-73.91979973,-57.42750773,13.39852651,-0.7732337964,-92.50047131,
60631111,-0.04659197473,-73.99155813,-57.27560541,12.63038628,-0.7692186538,-94.15598174,
60688888,-0.04915555748,-74.06472604,-57.12564539,10.9507519,-0.7674726488,-95.80129434,
60746666,-0.05112110121,-74.1501785,-56.77847268,9.845409739,-0.7644670762,-97.43679773,
60804444,-0.05350855222,-74.21717841,-56.89587199,9.006777278,-0.7601615036,-99.09348665,
60862222,-0.05547018254,-74.29388457,-56.69343191,9.63266886,-0.7553933832,-100.7376288,
60920000,-0.05793575656,-74.36544158,-56.88085804,8.027968574,-0.7525031717,-102.4003485,
60977777,-0.05955886326,-74.42627688,-56.47953011,5.250004518,-0.7486683428,-104.0606516,
61035555,-0.06025559306,-74.49300991,-56.395887,5.518120007,-0.7428689946,-105.7330736,
61093333,-0.05988479101,-74.57011065,-56.15408504,5.003417533,-0.7373460803,-107.4033559,
61151111,-0.05918253516,-74.63808846,-56.03706272,4.470312013,-0.7298901764,-109.072845,
61208888,-0.05998149244,-74.72019092,-55.9019283,4.265148902,-0.7238153688,-110.7490467,
61266666,-0.06011374285,-74.78239146,-55.76051816,3.679623955,-0.7179917747,-112.426173,
61324444,-0.05869759348,-74.90985095,-55.83086109,0.6141431138,-0.7075859417,-114.1225275,
61382222,-0.06103269055,-74.93564396,-55.75791861,1.085937639,-0.7100515697,-115.7823974,
61440000,-0.06186376987,-75.02455633,-55.67849348,-0.1232451375,-0.7049155565,-117.4693222,
61497777,-0.06006026023,-75.08906462,-55.31114316,-0.3527202602,-0.6960613134,-119.143403,
61555555,-0.06371919803,-75.19862293,-55.38197581,0.001383125748,-0.6947632337,-120.8680476,
61613333,-0.06381768281,-75.2851519,-55.19393868,-2.014379355,-0.6917235421,-122.5572528,
61671111,-0.06209837881,-75.36937473,-54.89299549,-2.482830886,-0.6878915358,-124.2376609,
61728888,-0.05720937999,-75.45190811,-55.72933241,-1.444007371,-0.6809509388,-125.9698902,
61786666,-0.05871114026,-75.53992406,-54.83879174,-6.108823426,-0.6796165854,-127.6355143,
61844444,-0.0559126936,-75.5995301,-54.74378832,-6.421308639,-0.6777344683,-129.3462291,
61902222,-0.05568837709,-75.68828714,-54.6926792,-6.658057378,-0.6752950883,-131.0392888,
61960000,-0.05421827547,-75.73737386,-54.65808289,-8.103026,-0.6744492661,-132.7493367,
62017777,-0.05345234449,-75.82455511,-54.42459014,-8.557895209,-0.6734703492,-134.4681117,
62075555,-0.07246425175,-75.95050895,-54.9144515,-3.16361632,-0.6670639333,-136.3007461,
62133333,0.05364619821,-76.39613419,-54.17577417,-11.44255311,-0.5960762019,-137.9951126,
62191111,-0.04590841186,-76.05649513,-54.0089493,-11.2414046,-0.6710742697,-139.6282368,
62248888,-0.0406728816,-76.38111413,-55.52506081,-18.90400687,-0.643039113,-141.0667986,
62306666,-0.04386321627,-76.19519915,-53.8051917,-13.34191248,-0.6658653401,-143.1121548,
62364444,-0.04368250448,-76.27560465,-53.60406389,-14.93841853,-0.665785049,-144.8516087,
62422222,-0.04218825042,-76.33719143,-53.56446446,-14.94248902,-0.6664903227,-146.629129,
62480000,-0.03899520139,-76.41319031,-53.32126891,-16.55863233,-0.6654578119,-148.3841189,
62537777,-0.03746806677,-76.49527478,-53.18683817,-17.85189442,-0.664762811,-150.1507557,
62595555,-0.03623044376,-76.56485197,-53.169169,-19.00542813,-0.6647792344,-151.9416611,
62653333,-0.03593872764,-76.6347838,-53.05471777,-19.55221709,-0.6655384195,-153.7161547,
62711111,-0.03166038118,-76.7181204,-52.77022257,-20.37209179,-0.6678206365,-155.4747082,
62768888,-0.02408643195,-76.76800106,-52.64972898,-21.13225692,-0.6721958183,-157.2179543,
62826666,-0.02324043345,-76.8310498,-52.56050736,-22.67269658,-0.67914002,-158.9645436,
62884444,-0.02137852838,-76.90490356,-52.39810508,-23.41524269,-0.6857046834,-160.7391866,
62942222,-0.02058575975,-76.9691201,-52.2086368,-24.82722884,-0.6920079325,-162.5226881,
63000000,-0.01329666093,-77.08204021,-52.18778953,-30.33120808,-0.6915777361,-164.3827873,
63057777,-0.01740195496,-77.11030867,-51.79144549,-26.75428414,-0.7085234354,-166.1248492,
63115555,-0.01562599528,-77.17453593,-51.68216691,-28.03217197,-0.7179345739,-167.9416377,
63173333,-0.01495684061,-77.25501309,-51.55557754,-28.40184802,-0.7284020065,-169.7428508,
63231111,-0.01072180461,-77.32804976,-51.57815606,-29.63111959,-0.7394225436,-171.5654243,
63288888,-0.00966952309,-77.38268313,-51.37423131,-30.65203217,-0.7510031411,-173.3882319,
63346666,-0.008651787435,-77.42989738,-51.22400262,-30.88495067,-0.764907255,-175.2475026,
63404444,-0.007841627947,-77.50289814,-51.0815643,-32.19635256,-0.7804681777,-177.0783674,
63462222,-0.005570531782,-77.57410438,-50.87207659,-33.25815738,-0.7970140214,-178.9293908,
63520000,-0.003900870894,-77.63698145,-50.76382371,-34.07888784,-0.8161771463,179.2582997,
63577777,-0.002124989627,-77.69372824,-50.59915592,-35.25663334,-0.8341464595,177.4254151,
63635555,-0.001916051234,-77.76674877,-50.54512927,-35.57590449,-0.855076164,175.5597761,
63693333,-0.001173235455,-77.82384931,-50.42798759,-36.02204401,-0.8786920105,173.7091766,
63751111,0.006060042201,-77.89323104,-50.28539565,-37.88684809,-0.9019686599,171.8215019,
63808888,0.002105794547,-77.95449709,-50.16666783,-39.40536546,-0.9286267794,170.0423148,
63866666,0.002284503114,-78.02642379,-50.00851196,-39.76231088,-0.9553982967,168.2374263,
63924444,0.003540369119,-78.10158888,-49.81862647,-41.43250243,-0.9811146334,166.4175773,
63982222,0.003776902852,-78.17939957,-49.55883589,-42.60050107,-1.007942825,164.6212717,
64040000,0.005673067402,-78.24571233,-49.45242982,-44.03862249,-1.033782518,162.8519503,
64097777,0.009859910148,-78.30236604,-49.29500299,-45.38917055,-1.055607634,161.0721684,
64155555,0.01272868491,-78.36984243,-49.17478008,-46.5764593,-1.076692761,159.3176845,
64213333,0.01294340848,-78.44620238,-49.00720208,-48.70825476,-1.097049409,157.5571257,
64271111,0.0149958604,-78.52300591,-48.85333648,-49.58886522,-1.111725652,155.7890426,
64328888,0.01722807484,-78.59181291,-48.73504999,-51.18291824,-1.121768544,154.0303995,
64386666,0.02029075236,-78.67135754,-48.64976789,-52.53147799,-1.129616146,152.2558351,
64444444,0.02334568716,-78.73581901,-48.4858059,-54.19587685,-1.133025884,150.4835556,
64502222,0.02558765627,-78.82380734,-48.4132122,-55.42379676,-1.134155506,148.692935,
64560000,0.0249516809,-78.88372774,-48.3406853,-57.59388109,-1.135047029,146.8808236,
64617777,0.02460137455,-78.9409888,-48.2105171,-59.06914337,-1.132199715,145.0381922,
64675555,0.02387781671,-79.01401067,-48.14416158,-60.75742957,-1.127980202,143.1681615,
64733333,0.02204733619,-79.07552749,-48.05432713,-62.02932614,-1.120733106,141.2444199,
64791111,0.0213887306,-79.14230882,-47.97870735,-63.51920074,-1.115038522,139.3089121,
64848888,0.020980094,-79.21942258,-47.94398566,-64.15921262,-1.105959875,137.3407244,
64906666,0.02119203394,-79.27531046,-47.7952538,-66.81174581,-1.099658757,135.3428589,
64964444,0.02047130936,-79.35939425,-47.81610326,-67.65850572,-1.089865864,133.3084851,
65022222,0.02100634321,-79.42786316,-47.68175852,-68.83122241,-1.082176652,131.2548281,
65080000,0.02162026724,-79.49684976,-47.57572751,-70.84464463,-1.073782588,129.1610953,
65137777,0.02239152031,-79.5695669,-47.52408741,-71.60141349,-1.067990639,127.0354891,
65195555,0.02255172496,-79.64516856,-47.51598521,-72.68849024,-1.064328554,124.9054856,
65253333,0.02507621138,-79.71003945,-47.35026462,-74.16966032,-1.059473097,122.7505394,
65311111,0.02581121064,-79.77691754,-47.34515808,-75.08661867,-1.055428796,120.5573913,
65368888,0.02819206842,-79.84147405,-47.22636009,-76.6574931,-1.050764764,118.3565465,
65426666,0.03176734762,-79.91049737,-47.12118809,-77.89921601,-1.047742453,116.1131889,
65484444,0.03209808422,-79.98778673,-47.07574467,-79.6253477,-1.044691388,113.853787,
65542222,0.03088809187,-80.06868091,-47.00127211,-80.75121021,-1.044274303,111.5709533,
65600000,0.03383111097,-80.12058348,-47.05132142,-81.02700459,-1.061423133,109.3184456,
65657777,0.03207909842,-80.20236929,-46.84960235,-82.64363296,-1.044427149,106.9415389,
65715555,0.03253781548,-80.26069667,-46.74666021,-84.87301031,-1.045904694,104.5975964,
65773333,0.02967635449,-80.33583023,-46.66655933,-85.42902643,-1.045986127,102.2263502,
65831111,0.03116349308,-80.39962917,-46.5799335,-87.15216208,-1.04765462,99.82938741,
65888888,0.03148960332,-80.48344971,-46.49888869,-88.44266089,-1.049608407,97.41483517,
65946666,0.02998280123,-80.54809888,-46.33052553,-89.19616872,-1.051045901,94.95966482,
66004444,0.02979927649,-80.60554505,-46.30041372,-90.61612204,-1.053591541,92.49595875,
